1등급 단어족	2등급 단어족	3등급 단어족	4등급 단어족
검사	가능	가동	가감
결과	간결	가상	가공
결정	간략	가설	가급적
경험	간접	가정	가변
계획	감각	감소	가부
관계	강력	감축	가시
교환	강제	강화	가중
규칙	강조	개념	각인
내용	개혁	개략	간과
능력	거부	개발	간극
단순	검색	개방	간주
목적	견해	개별	간파
문제	결론	개선	간헐적
반대	경쟁	개요	감안
방법	고려	개정	감지
방향	고정	개척	강구
복잡	공개	검증	개관
부분	공동	검토	개괄
비교	공통	격차	개량
사실	공평	견고	개론
선택	과장	결실	개설
설명	과정	결점	개시
성격	관련	결핍	개입
소개	관리	결함	개진
안내	관찰	결합	개체
연결	관측	경계	객관
의미	구별	경과	객체
이상	구분	경로	갱신
이용	권장	경제적	거론
이해	균형	경향	거시
재료	극복	계기	격리
정리	근거	계량	격식
정확	급격	계승	견인
종류	긍정	계층	견제
주변	기능	고유	견지
준비	기능	공격적	결부
중심	기법	공공	결속
중요	기본	공식	결손
지도	기술	공유	결여
직접	기준	공적	경시
취소	기초	공존	경위
프로그램	기호	과학적	경유
행동	나열	관념	경직
	내부	교대	계발
	다양	교류	계열
	단계	교정	계통
	단정	교차	고갈
	대강	교체	고립
	대비	구상	고무적
	대조	구성	고안
	대책	구조	고양
	대칭	구체	고전적
	대표	권고	고착
	대항	규정	고찰
	도구	규제	고취
	도달	균등	공고
	독립	극단	공시적
	독창	극심	과도기
	동등	근본	관건
	동력	근사	관망
	동의	근원	관여
	등장	근접	관점
	모방	급등	관조
	목표	급변	관통
	무시	급속	관철
	미만	급증	광범위
	미세	기관	괴리
	밀접	기구	교섭
	반복	기술	구도
	발견	기여	구비
	발달	기원	구축
	발명	기피	구현
	발생	기획	국면
	발전	긴밀	국부적
	방대	납득	국한
	방식	내면적	궁구
	방안	내적	궁극적
	방지	네트워크	귀결
	배경	노출	귀납
	배열	논거	귀속
	배출	논란	규명
	범위	논리	균일
	법칙	논술	극대화
	변경	논의	극소화
	변천	논증	근간
	변화	누출	근절
	보관	능동	급진
	보안	능률	기반
	보완	능숙	기인
	보장	능통	기저
	보충	단일	기점
	보호	단절	기제
	복사	단축	기조
	부정	달성	기존
	분류	대등	난해
	분리	대립	내재
	비율	대상	내포
	비판	대응	논박
	사고	대의	논쟁
	사례	대처	논점
	삭제	대체	논제
	상대	대치	논조
	상상	데이터	논지
	상태	도약	논하다
	상황	도입	누락
	생략	도출	누적
	생산	독자적	다각
	설득	동기	다면적
	성과	동반	다원적
	성능	동요	다중
	성장	동원	다차원
	성질	동일	다층
	세계적	둔화	단면
	세기	등재	단선적
	소극적	디지털	단편적
	소비	마비	당면
	소용	마찰	당위
	소유	매체	대두
	소재	면밀	대별
	소통	명료	대안
	수거	명백	대척
	수단	명확	도모
	수립	모순	도식
	수용	모의	도전적
	수정	모호	도태
	수준	몰입	독단적
	수집	묘사	독보적
	습득	무관	동적
	시도	무능	동질
	실시	무지	동태
	실천	무한	동향
	실행	무형	동화
	실험	미비	등한시
	심각	미약	딜레마
	심사	미흡	만성
	아이디어	밀도	망라
	안정	밀집	매개
	연구	밀착	맥락
	영향	반론	맹목적
	예상	반박	맹점
	예시	반발	메커니즘
	예외	반사	명명
	예정	반영	명목
	예측	반응	명시
	오프라인	반전	명제
	온라인	발단	모델
	온전	발상	모색
	완벽	발언	모형
	완성	발의	묵시적
	완전	발휘	묵인
	외부	방어	물리적
	요구	방치	물적
	요약	방해	물질적
	요점	배분	미결
	요청	번성	미시
	용도	법적	반동
	우수	변동	반려
	운영	변별	반문
	원격	변혁	반비례
	원인	변형	반증
	유래	변환	반추
	유사	보강	반향
	유용	보급	발동
	유의	보유	발산
	유익	보조	발원
	유지	보존	발췌
	유형	보편	발현
	의견	복구	방사
	의도	복원	방임
	의사소통	복합	방출
	의의	본격	배격
	의존	본질	배제
	의지	부가	배척
	이동	부류	배치
	이하	부문	배타적
	인정	부여	번복
	자극	부재	범례
	자동적	부착	범주
